"","words","term.freq","doc.freq"
"3052","twenty-seventh",2,2
"3053","betsey",2,2
"3054","bed",9,9
"3055","boardâ",0,0
"3056","dad",1,1
"3057","stay",8,7
"3058","i'll",3,3
"3059","pause",3,3
"3060","grievous",4,4
"3061","error",6,5
"3062","fairer",9,9
"3063","arn",1,1
"3064","contracts",3,3
"3065","farthing's",2,2
"3066","dennis",3,3
"3067","o'bryan",2,2
"3068","forewarn",1,1
"3069","tuesday",36,28
"3070","afternoon",20,16
"3071","cherokee",15,9
"3072","chiefs",44,16
"3073","cathedral",3,2
"3074","paul's",2,2
"3075","explain",7,6
"3076","curiosity",1,1
"3077","andamazement",1,1
"3078","attend",6,6
"3079","complied",4,4
"3080","delighted",7,7
"3081","organ.the",1,1
"3082","offer",15,11
"3083","obliges",1,1
"3084","acknowledgement",5,5
"3085","not.â",1,1
"3086","halter",1,1
"3087","clubâ",1,1
"3088","housebreakers",1,1
"3089","highwaymen",1,1
"3090","pick",1,1
"3091","pockets",4,4
"3092","swindlers",1,1
"3093","faro",1,1
"3094","keepersâ",1,1
"3095","accomplices",1,1
"3096","amazing",5,5
"3097","number.such",1,1
"3098","collection",8,6
"3099","present.â",1,1
"3100","dispersedly",1,1
"3101","qualitities",1,1
"3102","generalsâ",1,1
"3103","skilful",2,2
"3104","financiers",1,1
"3105","negotiators",1,1
"3106","active",25,21
"3107","citizensâ",1,1
"3108","expert",3,3
"3109","coup",1,1
"3110","main.were",1,1
"3111","pugilistic",1,1
"3112","tribeâ",1,1
"3113","enter",9,8
"3114","boxing",1,1
"3115","enemiesâ",1,1
"3116","certainty",6,6
"3117","brilliant",6,5
"3118","success.trading",1,1
"3119","justices",4,4
"3120","glad",6,5
"3121","spared",5,5
"3122","wonderfully",3,3
"3123","bought",4,4
"3124","immense",13,13
"3125","selling",5,4
"3126","loss",43,31
"3127","case",55,35
"3128","anticipate",4,4
"3129","ray",1,1
"3130","fruitfulness",1,1
"3131","soil.â",1,1
"3132","prospects",6,6
"3133","earnestly",9,9
"3134","wishing",6,6
"3135","coventgarden",1,1
"3136","theatre",8,5
"3137","splendid",12,9
"3138","worn",3,3
"3139","pantomime",1,1
"3140","actors",1,1
"3141","performer",1,1
"3142","performance",3,3
"3143","chief",104,46
"3144","amazed",1,1
"3145","interpreter",1,1
"3146","unable",9,9
"3147","repay",4,4
"3148","actor",3,1
"3149","approach",7,6
"3150","lighting",1,1
"3151","pipe",2,2
"3152","stuffed",1,1
"3153","variety",9,8
"3154","nauseous",1,1
"3155","whiffs",2,1
"3156","presenting",4,4
"3157","tube",1,1
"3158","alsoâ",1,1
"3159","aastonished",1,1
"3160","singularity",1,1
"3161","reluctantly",1,1
"3162","requestto",1,1
"3163","dramatic",6,3
"3164","circle",1,1
"3165","thoughts",10,10
"3166","quitting",3,3
"3167","trinidad",4,3
"3168","speedy",4,3
"3169","effectual",12,9
"3170","succours",2,2
"3171","utterly",7,7
"3172","ruined",3,3
"3173","greater",40,32
"3174","colonists",18,12
"3175","gros-morne.â",1,1
"3176","grenadiers",2,2
"3177","fort",56,15
"3178","trinity",3,2
"3179","bourbon",7,3
"3180","guadaloupe",1,1
"3181","refugees.â",1,1
"3182","firing",9,7
"3183","cannon",6,3
"3184","incessantly",2,2
"3185","magazine",2,2
"3186","powder",5,4
"3187","consumed.the",1,1
"3188","municipality",1,1
"3189","sign",2,2
"3190","insurgents",8,4
"3191","dictate.â",1,1
"3192","streets",14,11
"3193","money.â",1,1
"3194","imagine",6,4
"3195","terror",6,6
"3196","persent",1,1
"3197","royal.the",1,1
"3198","swarms",5,5
"3199","strangers",29,14
"3200","chabrol",1,1
"3201","chaffeurs",1,1
"3202","comandant",1,1
"3203","troops.the",2,2
"3204","confident",1,1
"3205","re-establish",1,1
"3206","prostrate",2,2
"3207","strew",1,1
"3208","walks",3,3
"3209","flowers",7,4
"3210","affectionately",2,2
"3211","embrace",2,2
"3212","him.â",1,1
"3213","comply",4,4
"3214","wishes.the",1,1
"3215","colonial",61,41
"3216","sits",1,1
"3217","gros-morne",1,1
"3218","guarded",1,1
"3219","dumoise",1,1
"3220","general.we",1,1
"3221","arming",1,1
"3222","privateers",3,3
"3223","attack",21,15
"3224","attempted",8,8
"3225","penetrate",1,1
"3226","repulsed",4,4
"3227","mulattoes",7,3
"3228","drafts",3,3
"3229","cork",10,9
"3230","regiments",13,10
"3231","immediately.the",1,1
"3232","repair",3,3
"3233","forthwith",4,4
"3234","complement",1,1
"3235","completion",7,5
"3236","conference",12,11
"3237","preparing",11,11
"3238","departure.last",1,1
"3239","eminent",3,3
"3240","mess",2,2
"3241","fouseca",1,1
"3242","olivarez",1,1
"3243","seville",1,1
"3244","exportation",5,4
"3245","linen",3,3
"3246","mixed",4,4
"3247","amount.monday",1,1
"3248","elizabeth",3,3
"3249","purcell",1,1
"3250","waterford",2,2
"3251","annapolis",1,1
"3252","dangerous",12,11
"3253","exhausted",4,4
"3254","allowance",8,8
"3255","naggin",1,1
"3256","diluted",1,1
"3257","pint",1,1
"3258","twenty-four",2,2
"3259","hundread",1,1
"3260","hogsheads",3,3
"3261","tobacco",7,6
"3262","staves",1,1
"3263","hoops",1,1
"3264","insurance",2,2
"3265","probability",16,16
"3266","madras",9,5
"3267","bengal",10,5
"3268","branches",13,12
"3269","matrimony",2,2
"3270","exportations",2,2
"3271","eleven",10,8
"3272","venture",6,6
"3273","chesterfield",1,1
"3274","burgess",1,1
"3275","connubially",1,1
"3276","linked",2,2
"3277","weakly",1,1
"3278","husbands",3,3
"3279","band",7,6
"3280","hymeneal",1,1
"3281","adventu",1,1
"3282","rers",1,1
"3283","indians.it",1,1
"3284","imitation",1,1
"3285","newswritters",1,1
"3286","pubished",1,1
"3287","occurs",2,2
"3288","news",7,6
"3289","room",15,13
"3290","purpose:â",1,1
"3291","ting",1,1
"3292","critical",4,4
"3293","excellencies",1,1
"3294","pen",1,1
"3295","real",17,16
"3296","announce",6,5
"3297","tragedy",3,2
"3298","intitled",1,1
"3299","reputed",1,1
"3300","offspring",2,2
"3301","professor",10,3
"3302","university",4,3
"3303","applause",1,1
"3304","play",5,5
"3305","richmond",16,8
"3306","expectations",7,7
"3307","pitch",5,5
"3308","assert",3,3
"3309","perusing",2,2
"3310","expetations",1,1
"3311","disappointed.â",1,1
"3312","volum",1,1
"3313","poems",1,1
"3314","choice",9,6
"3315","talents",11,7
"3316","erred",1,1
"3317","peculiarly",7,7
"3318","horace:denique",1,1
"3319","sit",3,3
"3320","quid",2,1
"3321","vis",2,2
"3322","simplex",1,1
"3323","dumtaxat",1,1
"3324","unum.it",1,1
"3325","simple",11,10
"3326","disgust",5,4
"3327","nakedness.â",1,1
"3328","complaints",5,5
"3329","maraino",6,1
"3330","oniyo",1,1
"3331","machinations",2,2
"3332","yerdal",1,1
"3333","neidan",2,1
"3334","defeat",12,10
"3335","combined",9,9
"3336","wake",2,2
"3337","compleat",1,1
"3338","delineation",1,1
"3339","quemque",1,1
"3340","decentâ",1,1
"3341","hoever",2,2
"3342","critic",1,1
"3343","halts",1,1
"3344","amidst",5,5
"3345","blushes",1,1
"3346","censureâ",1,1
"3347","ononthio",4,1
"3348","inthe",1,1
"3349","breast",3,2
"3350","inan",1,1
"3351","sachem",2,1
"3352","prompt",8,8
"3353","victim",3,2
"3354","destroyed",14,13
"3355","custom",12,12
"3356","captive",3,2
"3357","coun",1,1
"3358","trymen",1,1
"3359","bleived",1,1
"3360","slain",2,2
"3361","exert",3,3
"3362","risk",8,7
"3363","displeasing",1,1
"3364","losing",1,1
"3365","superstitious",1,1
"3366","crowd",2,2
"3367","bend",3,3
"3368","demons",1,1
"3369","sway",0,0
"3370","mankind?â",1,1
"3371","question",37,24
"3372","concenring",1,1
"3373","consistent",6,4
"3374","phlisophic",1,1
"3375","firmness",3,2
"3376","despair",2,2
"3377","son's",1,1
"3378","declare",7,7
"3379","offices?â",1,1
"3380","supported",22,21
"3381","amiable",3,3
"3382","grateful",3,3
"3383","reverence",2,2
"3384","unaffected",3,3
"3385","piety",2,2
"3386","intfering",1,1
"3387","insight",1,1
"3388","mariano",1,1
"3389","subordinate",2,2
"3390","onaiyo",2,1
"3391","leading",5,5
"3392","feature",1,1
"3393","caracter",1,1
"3394","master-piece",1,1
"3395","deviated",1,1
"3396","sentiments",9,7
"3397","utters",1,1
"3398","conversation",9,8
"3399","phiosopher",1,1
"3400","divine",6,6
"3401","creature",6,6
"3402","tuned",1,1
"3403","strains",1,1
"3404","tenderness",2,2
"3405","brother",12,11
"3406","talk",5,4
"3407","coldly",1,1
"3408","presence",7,6
"3409","safety",11,10
"3410","adored-husband",1,1
"3411","banish",1,1
"3412","imag",1,1
"3413","indifferent",2,2
"3414","gentle",3,3
"3415","moralist?â",1,1
"3416","exception",8,8
"3417","speaking",3,3
"3418","finely",1,1
"3419","drawn",12,11
"3420","intersting.â",1,1
"3421","elegant",8,6
"3422","requires",12,9
"3423","sublime",3,3
"3424","uathor",1,1
"3425","requently",1,1
"3426","verse",1,1
"3427","introduction",10,6
"3428","obsolete",1,1
"3429","words",16,16
"3430","produces",4,4
"3431","effectâ",2,2
"3432","danger",16,14
"3433","chusing",3,3
"3434","difficult",15,14
"3435","refer",4,4
"3436","deserving",7,6
"3437","taste",8,6
"3438","judgement",5,4
"3439","prompted",1,1
"3440","slay",1,1
"3441","brotherâ",1,1
"3442","innocence",1,1
"3443","husband's",1,1
"3444","belt",1,1
"3445","draws",3,3
"3446","speech",13,10
"3447","enraptured",1,1
"3448","conclude",9,9
"3449","apt",2,2
"3450","moment",33,30
"3451","solemn",4,4
"3452","sounds",2,2
"3453","sed",1,1
"3454","nunc",1,1
"3455","erat",1,1
"3456","locus.â",1,1
"3457","guided",2,2
"3458","impartiality",3,2
"3459","spoken",5,4
"3460","freely",2,2
"3461","plays",1,1
"3462","years:â",1,1
"3463","devoid",1,1
"3464","bombast:â",1,1
"3465","natureâ",1,1
"3466","inevitably",5,5
"3467","charlestown",3,3
"3468","commit",8,8
"3469","horrid",6,5
"3470","depredations",11,9
"3471","telling",2,2
"3472","window",5,4
"3473","calamity",7,6
"3474","shot",11,10
"3475","burnt.a",1,1
"3476","harling",1,1
"3477","exerted",6,5
"3478","frontiers",15,13
"3479","defeated",19,18
"3480","penetrated",3,3
"3481","services",19,13
"3482","bravery",2,2
"3483","subscription",5,4
"3484","gallant",3,3
"3485","yesterday's",1,1
"3486","conveyed",10,8
"3487","gentlemen",69,38
"3488","corroboratiing",1,1
"3489","extract.sir",1,1
"3490","detroit",6,5
"3491","sinclair",5,3
"3492","attacked",23,16
"3493","snare",1,1
"3494","cut",38,25
"3495","engagement",14,11
"3496","victorious",4,4
"3497","retreat",15,11
"3498","harrassed",1,1
"3499","wounded",26,18
"3500","fieldâ",1,1
"3501","cohorn",1,1
"3502","grass-hopper",1,1
"3503","elated",1,1
"3504","joining",13,13
"3505","quarters",10,9
"3506","maimis",1,1
"3507","townsâ",1,1
"3508","hand.the",1,1
"3509","detriot",1,1
"3510","assisted",2,2
"3511","ammunition",5,5
"3512","ascertained",23,22
"3513","them:they",1,1
"3514","consequences",23,18
"3515","imputed",2,2
"3516","supplying",6,4
"3517","ammunition.â",1,1
"3518","surprized",1,1
"3519","raising",11,9
"3520","differing",2,2
"3521","longevity.â",2,2
"3522","taconey",2,2
"3523","shoemaker",4,3
"3524","robert",20,18
"3525","glen",9,4
"3526","attained",4,4
"3527","hun",3,3
"3528","dred",3,3
"3529","fourteen",4,4
"3530","scotland",41,20
"3531","nativity",2,2
"3532","remembers",2,2
"3533","king",87,29
"3534","iii",2,2
"3535","succeed",6,6
"3536","ing",6,6
"3537","coronations",2,2
"3538","fight",4,4
"3539","impaired",2,2
"3540","profession",6,5
"3541","regularly",6,6
"3542","succeeding",3,3
"3543","strength",16,15
"3544","working",16,12
"3545","cape",95,36
"3546","hope.the",4,4
"3547","traveller.the",1,1
"3548","youth",3,3
"3549","neglected",5,5
"3550","hit",2,2
"3551","successful",12,11
"3552","schools",8,7
"3553","individual",24,16
"3554","ambition",4,4
"3555","qualifying",3,3
"3556","sons",9,8
"3557","writing",7,5
"3558","servants",30,18
"3559","citly",1,1
"3560","petty",5,4
"3561","dealer",1,1
"3562","shop",5,3
"3563","corner",3,3
"3564","paltry",1,1
"3565","list",9,9
"3566","commodities",1,1
"3567","ranked",1,1
"3568","assumed",6,6
"3569","string",1,1
"3570","full-founding",1,1
"3571","epithets",2,2
"3572","names",21,13
"3573","sore",2,2
"3574","indignity",3,3
"3575","retailing",1,1
"3576","gardens",9,8
"3577","avowedly",1,1
"3578","medium",5,5
"3579","minds",8,7
"3580","f[?]l",1,1
"3581","justice",25,21
"3582","excepted",1,1
"3583","wholly",5,5
"3584","bent",2,2
"3585","knopman",1,1
"3586","title",10,10
"3587","aspired",1,1
"3588","ideas",4,4
"3589","differ",4,4
"3590","widely",3,3
"3591","chinese",2,2
"3592","degraded",4,4
"3593","lowest",3,3
"3594","society.that",1,1
"3595","concerns",6,6
"3596","devoted",14,14
"3597","gratification",2,2
"3598","sensual",1,1
"3599","appetite",1,1
"3600","reading",11,8
"3601","arts.â",1,1
"3602","amusements",1,1
"3603","occasional",2,2
"3604","balls",3,3
"3605","social",5,4
"3606","intercourse",17,12
"3607","consist",19,15
"3608","card",3,3
"3609","playing",1,1
"3610","money-matters",1,1
"3611","engross",1,1
"3612","opulent",3,3
"3613","easy",15,13
"3614","beggars",1,1
"3615","cha",1,1
"3616","rity",1,1
"3617","derived",7,6
"3618","fund",15,9
"3619","established",29,23
"3620","superfluities",1,1
"3621","alms",1,1
"3622","donations",2,2
"3623","collections",1,1
"3624","tax",9,8
"3625","assessments",1,1
"3626","repairs",2,2
"3627","drawback",2,2
"3628","profits",4,4
"3629","labour.it",1,1
"3630","remark",7,4
"3631","pretty",10,10
"3632","humoured",1,1
"3633","possessing",7,7
"3634","phlegmatic",1,1
"3635","trait",1,1
"3636","difference",6,5
"3637","manners",20,11
"3638","inconceivably",1,1
"3639","clumsy",1,1
"3640","awkward",2,2
"3641","carriage",11,7
"3642","unsocial",1,1
"3643","delicate",3,3
"3644","size",20,13
"3645","dressed",4,4
"3646","indulgence",2,2
"3647","restrained",2,2
"3648","parents",11,8
"3649","turn",10,9
"3650","abuse",5,4
"3651","dependent",13,11
"3652","caprice",1,1
"3653","primogeniture",1,1
"3654","entitles",2,2
"3655","advantage",40,33
"3656","male",14,12
"3657","share",14,13
"3658","alike",1,1
"3659","disinherit",1,1
"3660","assigning",1,1
"3661","proof",11,11
"3662","reasons",7,7
"3663","enumerated",3,3
"3664","justinian",1,1
"3665","code.by",1,1
"3666","law",42,24
"3667","community",29,12
"3668","joint",4,4
"3669","belong",3,3
"3670","deceased",3,3
"3671","withheld",9,9
"3672","age.it",1,1
"3673","females",31,18
"3674","emark",1,1
"3675","profited",1,1
"3676","limited",15,15
"3677","families",48,30
"3678","taught",3,2
"3679","tolerable",4,4
"3680","execution",19,15
"3681","proficiency",2,2
"3682","needle",3,3
"3683","lace",1,1
"3684","knotting",1,1
"3685","tambour",1,1
"3686","dresses",1,1
"3687","prevailing",2,2
"3688","fashion",2,2
"3689","passengers",59,34
"3690","catch",1,1
"3691","riseneither",1,1
"3692","deficient",4,4
"3693","vivacity",1,1
"3694","talent",4,4
"3695","desire",14,13
"3696","degenerate",1,1
"3697","routine",1,1
"3698","smoaking",1,1
"3699","sleeping",2,2
"3700","associate",5,3
"3701","employments",2,2
"3702","backwardness",1,1
"3703","habits",27,18
"3704","partly",11,8
"3705","vanquished",1,1
"3706","mixing",1,1
"3707","conquerors",1,1
"3708","occupied",11,8
"3709","judicial",4,4
"3710","removal",7,7
"3711","sidney",5,5
"3712","keeping",7,7
"3713","ill-fame",1,1
"3714","gen",5,5
"3715","impartial",6,5
"3716","tha",1,1
"3717","persuaded",11,9
"3718","unentertaining",2,2
"3719","readers.fellow",2,2
"3720","senate",7,5
"3721","representativesit",1,1
"3722","abatement",3,3
"3723","felicitating",2,2
"3724","prosperity",25,16
"3725","information",53,36
"3726","hostilities",10,8
"3727","frontier",24,15
"3728","terminated:you",1,1
"3729","reiterated",3,3
"3730","endeavours",5,5
"3731","effecting",5,5
"3732","pacification",2,2
"3733","outrageous",3,3
"3734","proofs",10,10
"3735","hostility",14,13
"3736","tribes",16,8
"3737","earnest",3,3
"3738","tranquillity",3,3
"3739","frontierâ",2,2
"3740","stop",5,5
"3741","effusion",2,2
"3742","bloodâ",2,2
"3743","arrest",4,4
"3744","expenseâ",2,2
"3745","forward",23,21
"3746","prevalent",10,10
"3747","strenuous",2,2
"3748","efforts",15,10
"3749","accomplish",3,3
"3750","desirable",19,17
"3751","purposes:â",1,1
"3752","consulted",3,3
"3753","anticipations",5,5
"3754","scruples",2,2
"3755","inspire",3,3
"3756","attainable",2,2
"3757","unequivocally",2,2
"3758","case.a",2,2
"3759","detail",6,6
"3760","pursued",12,10
"3761","confirm",6,5
"3762","evince",3,3
"3763","efficacious",4,4
"3764","depending",5,5
"3765","favorable",1,1
"3766","despaired",2,2
"3767","happened.in",2,2
"3768","zeal",7,6
"3769","sanction",14,13
"3770","commonly",4,4
"3771","respected",3,3
"3772","insufficient",5,5
"3773","protect",8,6
"3774","duly",5,5
"3775","exercise",8,7
"3776","liberality",14,12
"3777","deceased.it",2,2
"3778","continuation",2,2
"3779","hostile",5,5
"3780","threatening",6,4
"3781","symptoms",9,7
"3782","it.a",3,3
"3783","cherokees",12,9
"3784","chickamagas",4,2
"3785","inhabiting",3,3
"3786","villages",9,8
"3787","tennessee",2,2
"3788","committing",4,4
"3789","settlements.it",2,2
"3790","holston",2,2
"3791","prevented",9,8
"3792","repetition",2,2
"3793","aided",10,10
"3794","tribe",4,4
"3795","recently",19,18
"3796","perpetrated",8,8
"3797","wanton",5,5
"3798","unprovoked",3,3
"3799","defensive",3,3
"3800","precautions",4,4
"3801","enjoined",1,1
"3802","observed.it",1,1
"3803","understood",17,15
"3804","breach",2,2
"3805","aggression",2,2
"3806","whatsoever",2,2
"3807","pretext",3,2
"3808","quarter.i",2,2
"3809","practicable",8,7
"3810","exertion",6,6
"3811","alternative",4,4
"3812","prosecution",8,6
"3813","failure",6,5
"3814","overtures",3,3
"3815","authorized",3,3
"3816","recruited",2,2
"3817","incomplete",2,2
"3818","discipline",3,3
"3819","delay",11,9
"3820","operations",11,9
"3821","pursuing",2,2
"3822","termination",7,5
"3823","immature",2,2
"3824","department",18,15
"3825","regard",26,18
"3826","points",13,10
"3827","precise",5,5
"3828","consultations",3,3
"3829","judge",12,12
"3830","stimulus",4,4
"3831","recruiting",3,3
"3832","advisable.in",2,2
"3833","expense",35,20
"3834","inevitable",3,3
"3835","consolation",4,4
"3836","product",3,3
"3837","revenues",6,5
"3838","supersede",2,2
"3839","burthens",2,2
"3840","ensuing",8,7
"3841","session",31,21
"3842","alluded",11,9
"3843","proceeds",8,7
"3844","supposition",3,3
"3845","material",10,9
"3846","extension",4,4
"3847","hostilities.i",2,2
"3848","dismiss",2,2
"3849","recommending",7,7
"3850","expediency",4,4
"3851","adequate",6,6
"3852","interior",15,11
"3853","restraining",3,3
"3854","commission",29,11
"3855","outrages",3,3
"3856","nugatoryâ",1,1
"3857","competent",2,2
"3858","rewards",4,4
"3859","qualified",8,7
"3860","reside",5,5
"3861","agents",12,10
"3862","contribute",6,6
"3863","preservation",7,5
"3864","addition",14,13
"3865","expedients",2,2
"3866","eligible",9,9
"3867","promoting",7,5
"3868","civilization",4,4
"3869","regulations",15,14
"3870","extortion",1,1
"3871","cementing",2,2
"3872","considerable.the",2,2
"3873","intimatedâ",2,2
"3874","impediments",4,2
"3875","continue",15,15
"3876","embarrass",2,2
"3877","distilled",2,2
"3878","lessened",4,3
"3879","local",8,7
"3880","extent",39,29
"3881","contentment",2,2
"3882","progressive.but",2,2
"3883","manifested",6,5
"3884","special",6,6
"3885","interposition",4,4
"3886","advisable",3,3
"3887","warning",2,2
"3888","unlawful",2,2
"3889","combinations",2,2
"3890","tending",2,2
"3891","obstruct",2,2
"3892","operation",15,11
"3893","announcing",4,4
"3894","lawful",5,5
"3895","infractors",2,2
"3896","securing",6,6
"3897","obedience",4,4
"3898","thereto.measures",2,2
"3899","offenders",2,2
"3900","constitutional",7,5
"3901","legal",6,6
"3902","limits",8,8
"3903","depend",9,8
"3904","maintain",7,7
"3905","fulfilling",3,2
"3906","count",3,3
"3907","cooperation",1,1
"3908","departments",3,3
"3909","zealous",3,3
"3910","citizens.i",2,2
"3911","forbear",2,2
"3912","legislature",25,13
"3913","revision",2,2
"3914","judiciary",3,3
"3915","representation",6,6
"3916","supreme",4,4
"3917","inconveniences",4,4
"3918","structure",2,2
"3919","cases",17,15
"3920","relax",1,1
"3921","efficacy",5,5
"3922","facilitate",3,3
"3923","bail",4,3
"3924","processes",1,1
"3925","courts",9,9
"3926","supplementary",4,4
"3927","definition",1,1
"3928","offenses",2,1
"3929","punishment",16,9
"3930","attention.observations",1,1
"3931","unnecessary",8,8
"3932","timely",2,2
"3933","disturb",2,2
"3934","recommend",14,11
"3935","preventing",2,2
"3936","aggressions",2,2
"3937","infractions",1,1
"3938","furnishes",2,2
"3939","endanger",1,1
"3940","maintenance",5,5
"3941","presented",33,20
"3942","expiration",6,4
"3943","takes",10,9
"3944","renewed",9,9
"3945","session.in",1,1
"3946","artists",1,1
"3947","mint",3,3
"3948","requisite",14,10
"3949","putting",11,11
"3950","dimes",1,1
"3951","calling",3,3
"3952","them.the",2,2
"3953","regulation",3,3
"3954","correspondency",1,1
"3955","resumed",2,2
"3956","completed.it",1,1
"3957","represented",5,5
"3958","establishes",1,1
"3959","post-office",1,1
"3960","operate",4,4
"3961","experiment",12,9
"3962","transmission",1,1
"3963","distant",27,17
"3964","country.â",2,2
"3965","enquiry",3,3
"3966","conviction",5,4
"3967","importance",23,14
"3968","facilitating",1,1
"3969","remedy.the",1,1
"3970","adoption",6,6
"3971","notified",1,1
"3972","arises",2,2
"3973","interesting",20,18
"3974","relates",5,5
"3975","conducive",1,1
"3976","order.it",1,1
"3977","severally",4,4
"3978","reduction",12,8
"3979","loans",6,4
"3980","effected",17,14
"3981","florinsâ",1,1
"3982","antwerp",1,1
"3983","one-half",4,4
"3984","lieu",2,2
"3985","charges.â",1,1
"3986","rates",5,5
"3987","confirmations",2,2
"3988","abroad.among",1,1
"3989","funds",19,13
"3990","payment",20,16
"3991","debts",6,4
"3992","embraced.gentlemen",1,1
"3993","representativesi",2,1
"3994","entertain",5,5
"3995","finances",4,4
"3996","sufficiently",9,9
"3997","matured",1,1
"3998","systematic",2,2
"3999","effec",1,1
"4000","tual",1,1
"4001","regular",25,18
"4002","redemption",2,2
"4003","reserved",4,4
"4004","viewed",1,1
"4005","intrinsic",1,1
"4006","nation.provision",1,1
"4007","reimbursement",2,2
"4008","loan",14,12
"4009","section",10,5
"4010","incorporated",3,2
"4011","stipulations",3,3
"4012","saving",6,4
"4013","made.appropriations",1,1
"4014","current",9,6
"4015","extraordinaries",1,1
"4016","attention.gentlemen",1,1
"4017","content",5,5
"4018","recalling",2,2
"4019","particularized",1,1
"4020","communications",4,4
"4021","you.various",1,1
"4022","expire",2,2
"4023","regulates",2,2
"4024","notice.the",1,1
"4025","results",6,5
"4026","deliberations",2,2
"4027","solid",2,2
"4028","durable",1,1
"4029","constituents",3,3
"4030","conciliating",2,2
"4031","ultimate",3,3
"4032","suffrage",1,1
"4033","strengthen",3,3
"4034","materially",3,3
"4035","happiness.still",1,1
"4036","promote",3,3
"4037","secure",16,16
"4038","inestimable",2,2
"4039","ends",1,1
"4040","harmony",4,4
"4041","stability",3,3
"4042","petersburgh",6,5
"4043","resides",3,3
"4044","edward",6,6
"4045","court-house",1,1
"4046","john",81,34
"4047","hollaway",1,1
"4048","soldier",4,4
"4049","mabon",1,1
"4050","gibraltor",1,1
"4051","vigo",1,1
"4052","coronation",2,1
"4053","queen",5,5
"4054","anne",1,1
"4055","marlborough",1,1
"4056","ormond.he",1,1
"4057","event.from",1,1
"4058","sings",1,1
"4059","song",2,2
"4060","voice",7,6
"4061","distinct",15,15
"4062","culation.this",1,1
"4063","man's",4,4
"4064","aged",3,2
"4065","alive",3,3
"4066","lives",46,29
"4067","instructions",9,8
"4068","attorney",3,3
"4069","penn",1,1
"4070","sylvania",1,1
"4071","prosecutions",1,1
"4072","singleterry",1,1
"4073","gideon",1,1
"4074","henfield",1,1
"4075","charged",4,4
"4076","violating",1,1
"4077","entering",4,4
"4078","schooner",9,8
"4079","genet",1,1
"4080","capturing",1,1
"4081","britannic",4,3
"4082","annoying",1,1
"4083","majesty.the",1,1
"4084","goal",2,2
"4085","circuit",2,2
"4086","states.a",1,1
"4087","charleston",4,2
"4088","augusta",2,2
"4089","georgia",12,10
"4090","towns",17,17
"4091","marching",4,4
"4092","bowles",4,3
"4093","gilpin",2,2
"4094","pugh",1,1
"4095","pugh.the",1,1
"4096","determinded",1,1
"4097","headed",3,3
"4098","successor",4,4
"4099","m'gillivray",9,5
"4100","commenced",23,21
"4101","knoxville",1,1
"4102","describe",6,6
"4103","bloody",5,4
"4104","isaac",4,4
"4105","bledose",1,1
"4106","massacred",4,4
"4107","house.on",1,1
"4108","greenfield",1,1
"4109","jervis",1,1
"4110","mrs",17,13
"4111","tarker",1,1
"4112","neely",2,1
"4113","wilson",8,7
"4114","preserved",8,8
"4115","flight",7,6
"4116","remembered",4,4
"4117","brothers",4,3
"4118","pursuit",6,6
"4119","indians.june",1,1
"4120","trace",2,2
"4121","cumberland",2,2
"4122","big",2,2
"4123","party",77,39
"4124","wounded.augusta",1,1
"4125","twiggs",1,1
"4126","crossed",10,8
"4127","oconnee",1,1
"4128","cakmulgee",1,1
"4129","halt",2,2
"4130","build",6,6
"4131","cavalry",5,5
"4132","amounting",10,10
"4133","brigadier",2,2
"4134","irwin",1,1
"4135","clark",12,6
"4136","blackburn",1,1
"4137","murders",4,4
"4138","devastations",1,1
"4139","faithless",1,1
"4140","savages.brigadier",1,1
"4141","glascock",1,1
"4142","brigade",4,3
"4143","expenditure",7,6
"4144","establishments",9,9
"4145","muir",5,4
"4146","skirving",1,1
"4147","margarot",0,0
"4148","beds",1,1
"4149","previous",18,18
"4150","hand-cuffed",1,1
"4151","post-chaise",1,1
"4152","woolwich",5,3
"4153","waits",1,1
"4154","bay.mr",1,1
"4155","palmer",3,3
"4156","hulks",5,4
"4157","vessel.between",1,1
"4158","sixty",9,8
"4159","blackfriars",1,1
"4160","bridge",7,5
"4161","behaved",4,3
"4162","turbulent",1,1
"4163","fought",6,5
"4164","lamentable",2,2
"4165","eyes",9,9
"4166","spectator",2,2
"4167","infants",3,3
"4168","humble",8,8
"4169","exhibitions",2,2
"4170","preludes",1,1
"4171","interludes",1,1
"4172","lewds",1,1
"4173","stage-plays",1,1
"4174","discountenanced",1,1
"4175","pointing",1,1
"4176","corrupting",1,1
"4177","morals",2,2
"4178","walesthe",1,1
"4179","particulars",15,15
"4180","respecting",33,27
"4181","unacceptable",1,1
"4182","grant",45,27
"4183","novemeber",1,1
"4184","luxuriant",3,3
"4185","floods.governor",1,1
"4186","oraheire",1,1
"4187","singularly",2,2
"4188","porpoise",1,1
"4189","trip",3,2
"4190","brig",26,24
"4191","failed",10,9
"4192","grant's",1,1
"4193","sydney.the",1,1
"4194","understanding",6,6
"4195","otaheite",9,9
"4196","stape",2,2
"4197","commodity",3,3
"4198","coals",9,8
"4199","abundance",11,10
"4200","hunter's",2,1
"4201","plenty",14,9
"4202","wood",26,15
"4203","masting",1,1
"4204","shipping",12,11
"4205","horn",5,5
"4206","anna",24,10
"4207","josepha",1,1
"4208","loaded",5,4
"4209","spars",1,1
"4210","rix",1,1
"4211","sterling.)governor",1,1
